LocationId,City,Country,Region,Latitude,Longitude,RiskZone
LOC001,New York,United States,North America,40.7128,-74.0060,Low
LOC002,Los Angeles,United States,North America,34.0522,-118.2437,Low
LOC003,Chicago,United States,North America,41.8781,-87.6298,Low
LOC004,Miami,United States,North America,25.7617,-80.1918,Medium
LOC005,London,United Kingdom,Europe,51.5074,-0.1278,Low
LOC006,Toronto,Canada,North America,43.6532,-79.3832,Low
LOC007,Lagos,Nigeria,Africa,6.5244,3.3792,High
LOC008,Moscow,Russia,Europe,55.7558,37.6173,High
LOC009,Singapore,Singapore,Asia,1.3521,103.8198,Low
LOC010,Cayman Islands,Cayman Islands,Caribbean,19.3133,-81.2546,High
LOC011,Dubai,United Arab Emirates,Middle East,25.2048,55.2708,Medium
LOC012,Hong Kong,China,Asia,22.3193,114.1694,Medium
LOC013,Las Vegas,United States,North America,36.1699,-115.1398,Medium
LOC014,São Paulo,Brazil,South America,-23.5505,-46.6333,Medium
LOC015,Kiev,Ukraine,Europe,50.4501,30.5234,High
