EquipmentId,Equipment_Name,Equipment_Level,Equipment_Type,Equipment_Location,Equipment_Capacity
EQP-001,Zava Redmond Innovation Center,Site,CoatingDev,Redmond WA USA,50000
EQP-002,Zava Portland Production Campus,Site,Production,Portland OR USA,80000000
EQP-003,Zava Distribution Hub,Site,Distribution,Portland OR USA,100000000
EQP-004,Coating Development Lab,Area,CoatingDev,Redmond WA USA,25000
EQP-005,Weave Hall A,WorkCenter,Weaving,Portland OR USA,40000000
EQP-006,Weave Hall B,WorkCenter,Weaving,Portland OR USA,40000000
EQP-007,QA & Testing Laboratory,Area,QualityControl,Redmond WA USA,0
EQP-008,Finished Goods Warehouse,Area,Warehouse,Portland OR USA,50000000
EQP-009,Toray Iiyama Carbon Plant,Site,Supplier,Iiyama Japan,10000
EQP-010,NanoSilver Daejeon Lab,Site,Supplier,Daejeon South Korea,15000
EQP-011,CopperTrace Dresden Hub,Site,Supplier,Dresden Germany,12000
EQP-012,FR4-Global Taoyuan Fab,Site,Supplier,Taoyuan Taiwan,20000
EQP-013,PolyCoat Austin Facility,Site,Supplier,Austin TX USA,0
EQP-014,FlexConnect Bristol Works,Site,Supplier,Bristol UK,0
EQP-015,SensorPak Stuttgart Center,Site,Supplier,Stuttgart Germany,8000
EQP-016,Bravo-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-017,Bravo-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-018,Bravo-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-019,Bravo-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-020,Bravo-FiberWeaver-05,WorkUnit,Weaving,Portland OR USA,0
EQP-021,Bravo-FiberWeaver-06,WorkUnit,Weaving,Portland OR USA,0
EQP-022,Bravo-FiberWeaver-07,WorkUnit,Weaving,Portland OR USA,0
EQP-023,Bravo-FiberWeaver-08,WorkUnit,Weaving,Portland OR USA,0
EQP-024,Bravo-FiberWeaver-09,WorkUnit,Weaving,Portland OR USA,0
EQP-025,Bravo-FiberWeaver-10,WorkUnit,Weaving,Portland OR USA,0
EQP-026,Bravo-FiberWeaver-11,WorkUnit,Weaving,Portland OR USA,0
EQP-027,Bravo-LabelApplicator-01,WorkUnit,Packing,Portland OR USA,0
EQP-028,Bravo-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-029,Charlie-Laminator-01,WorkUnit,Laminating,Portland OR USA,0
EQP-030,Charlie-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-031,Charlie-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-032,Charlie-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-033,Charlie-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-034,Charlie-FiberWeaver-05,WorkUnit,Weaving,Portland OR USA,0
EQP-035,Charlie-StackerUnit-01,WorkUnit,Packing,Portland OR USA,0
EQP-036,Charlie-BulkPacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-037,Charlie-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-038,Delta-Laminator-01,WorkUnit,Laminating,Portland OR USA,0
EQP-039,Delta-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-040,Delta-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-041,Delta-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-042,Delta-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-043,Delta-FiberWeaver-05,WorkUnit,Weaving,Portland OR USA,0
EQP-044,Delta-FiberWeaver-06,WorkUnit,Weaving,Portland OR USA,0
EQP-045,Delta-FiberWeaver-08,WorkUnit,Weaving,Portland OR USA,0
EQP-046,Delta-FiberWeaver-09,WorkUnit,Weaving,Portland OR USA,0
EQP-047,Delta-FiberWeaver-10,WorkUnit,Weaving,Portland OR USA,0
EQP-048,Delta-FiberWeaver-11,WorkUnit,Weaving,Portland OR USA,0
EQP-049,Delta-FiberWeaver-12,WorkUnit,Weaving,Portland OR USA,0
EQP-050,Delta-FiberWeaver-13,WorkUnit,Weaving,Portland OR USA,0
EQP-051,Delta-BoxFormer-01,WorkUnit,Packing,Portland OR USA,0
EQP-052,Delta-ConductivityTester-01,WorkUnit,QualityControl,Portland OR USA,0
EQP-053,Delta-ConductivityTester-02,WorkUnit,QualityControl,Portland OR USA,0
EQP-054,Delta-HeatSealer-01,WorkUnit,Packing,Portland OR USA,0
EQP-055,Foxtrot-HeatPress-01,WorkUnit,Laminating,Portland OR USA,0
EQP-056,Foxtrot-HeatPress-02,WorkUnit,Laminating,Portland OR USA,0
EQP-057,Foxtrot-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-058,Golf-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-059,Hotel-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-060,Hotel-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-061,Hotel-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-062,Hotel-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-063,Hotel-FiberWeaver-05,WorkUnit,Weaving,Portland OR USA,0
EQP-064,Hotel-FiberWeaver-06,WorkUnit,Weaving,Portland OR USA,0
EQP-065,Hotel-FiberWeaver-07,WorkUnit,Weaving,Portland OR USA,0
EQP-066,Hotel-FiberWeaver-08,WorkUnit,Weaving,Portland OR USA,0
EQP-067,Hotel-FiberWeaver-09,WorkUnit,Weaving,Portland OR USA,0
EQP-068,Hotel-FiberWeaver-10,WorkUnit,Weaving,Portland OR USA,0
EQP-069,Hotel-FiberWeaver-11,WorkUnit,Weaving,Portland OR USA,0
EQP-070,Hotel-FiberWeaver-12,WorkUnit,Weaving,Portland OR USA,0
EQP-071,Hotel-FiberWeaver-13,WorkUnit,Weaving,Portland OR USA,0
EQP-072,Hotel-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-073,Juliet-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-074,Golf-HeatPress-01,WorkUnit,Laminating,Portland OR USA,0
EQP-075,Juliet-TensileTestRig-06,WorkUnit,Weaving,Portland OR USA,0
EQP-076,Juliet-TensileTestRig-07,WorkUnit,Weaving,Portland OR USA,0
EQP-077,Golf-TrayFormer-01,WorkUnit,Packing,Portland OR USA,0
EQP-078,Juliet-TensileTestRig-08,WorkUnit,Weaving,Portland OR USA,0
EQP-079,Juliet-TensileTestRig-03,WorkUnit,Weaving,Portland OR USA,0
EQP-080,Juliet-TensileTestRig-04,WorkUnit,Weaving,Portland OR USA,0
EQP-081,Juliet-TensileTestRig-05,WorkUnit,Weaving,Portland OR USA,0
EQP-082,Foxtrot-TrayFormer-01,WorkUnit,Packing,Portland OR USA,0
EQP-083,Kilo-TensileTestRig-02,WorkUnit,Weaving,Portland OR USA,0
EQP-084,Juliet-ConductivityTester-02,WorkUnit,QualityControl,Portland OR USA,0
EQP-085,Juliet-ConductivityTester-01,WorkUnit,QualityControl,Portland OR USA,0
EQP-086,Bravo-ShieldWrapper-02,WorkUnit,Laminating,Portland OR USA,0
EQP-087,Delta-FiberWeaver-07,WorkUnit,Weaving,Portland OR USA,0
EQP-088,Hotel-BulkPacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-089,Bravo-Laminator-01,WorkUnit,Laminating,Portland OR USA,0
EQP-090,Bravo-Laminator-02,WorkUnit,Laminating,Portland OR USA,0
