ComplaintId,ProductId,BatchId,ComplaintDate,ComplaintType,Region,IsReportable,ComplaintStatus
CC001,PROD001,BATCH001,2025-02-10T09:15:00,Device Malfunction,Americas,false,Closed
CC002,PROD002,BATCH003,2025-02-18T14:30:00,Device Malfunction,EMEA,false,Closed
CC003,PROD003,BATCH004,2025-03-25T11:00:00,Packaging Damage,Americas,false,Closed
CC004,PROD004,BATCH006,2025-03-05T08:45:00,Labeling Issue,Americas,false,Closed
CC005,PROD005,BATCH007,2025-02-28T16:20:00,Product Quality,EMEA,false,Closed
CC006,PROD009,BATCH011,2025-03-15T10:00:00,Device Malfunction,Americas,true,Investigating
CC007,PROD009,BATCH027,2025-04-20T07:30:00,Device Malfunction,Americas,true,Open
CC008,PROD001,BATCH002,2025-03-08T13:45:00,Use Error,APAC,false,Closed
CC009,PROD006,BATCH008,2025-03-12T09:30:00,Product Quality,Americas,false,Closed
CC010,PROD010,BATCH012,2025-02-22T15:00:00,Packaging Damage,EMEA,false,Closed
CC011,PROD011,BATCH013,2025-03-18T11:15:00,Product Quality,Americas,false,Closed
CC012,PROD014,BATCH016,2025-03-02T08:00:00,Device Malfunction,EMEA,false,Closed
CC013,PROD015,BATCH017,2025-02-08T14:45:00,Device Malfunction,APAC,false,Closed
CC014,PROD019,BATCH021,2025-02-15T10:30:00,Device Malfunction,Americas,true,Investigating
CC015,PROD003,BATCH005,2025-04-02T09:00:00,Labeling Issue,Americas,false,Closed
CC016,PROD007,BATCH009,2025-04-08T16:30:00,Product Quality,APAC,false,Closed
CC017,PROD008,BATCH010,2025-04-12T11:45:00,Packaging Damage,EMEA,false,Closed
CC018,PROD016,BATCH018,2025-04-05T08:15:00,Use Error,Americas,false,Closed
CC019,PROD017,BATCH019,2025-03-28T13:00:00,Product Quality,Americas,false,Closed
CC020,PROD020,BATCH022,2025-03-10T10:45:00,Device Malfunction,EMEA,false,Closed
