ShipmentId,Shipment_TrackingNum,Shipment_Status,Shipment_DepartureDate,Shipment_ArrivalDate,Shipment_Carrier,OriginFacilityId,DestFacilityId
SHP-001,TRK-2025-001001,Delivered,2025-10-20T06:00:00,2025-10-25T14:00:00,GlobalFreight,FAC-005,FAC-003
SHP-002,TRK-2025-001002,Delivered,2025-10-22T08:00:00,2025-10-26T16:00:00,OceanLogistics,FAC-006,FAC-003
SHP-003,TRK-2025-001003,Delivered,2025-10-18T10:00:00,2025-10-20T12:00:00,RapidTruck,FAC-007,FAC-001
SHP-004,TRK-2025-001004,Delivered,2025-10-19T07:00:00,2025-10-21T09:00:00,RailExpress,FAC-008,FAC-001
SHP-005,TRK-2025-001005,Delivered,2025-10-25T05:00:00,2025-10-30T11:00:00,AirCargo,FAC-009,FAC-003
SHP-006,TRK-2025-001006,Delivered,2025-10-28T09:00:00,2025-11-02T15:00:00,GlobalFreight,FAC-010,FAC-003
SHP-007,TRK-2025-001007,Delivered,2025-10-30T06:00:00,2025-11-04T13:00:00,OceanLogistics,FAC-011,FAC-003
SHP-008,TRK-2025-001008,Delivered,2025-11-01T08:00:00,2025-11-05T10:00:00,AirCargo,FAC-012,FAC-003
SHP-009,TRK-2025-001009,Delivered,2025-11-03T07:00:00,2025-11-05T14:00:00,RailExpress,FAC-013,FAC-001
SHP-010,TRK-2025-001010,Delivered,2025-11-05T10:00:00,2025-11-10T16:00:00,GlobalFreight,FAC-014,FAC-003
SHP-011,TRK-2025-001011,Delivered,2025-11-02T06:00:00,2025-11-04T08:00:00,RapidTruck,FAC-003,FAC-001
SHP-012,TRK-2025-001012,Delivered,2025-11-04T07:00:00,2025-11-06T10:00:00,RapidTruck,FAC-003,FAC-002
SHP-013,TRK-2025-001013,InTransit,2025-11-15T06:00:00,2025-11-20T12:00:00,GlobalFreight,FAC-005,FAC-003
SHP-014,TRK-2025-001014,InTransit,2025-11-16T08:00:00,2025-11-21T14:00:00,OceanLogistics,FAC-006,FAC-003
SHP-015,TRK-2025-001015,Pending,2025-11-18T00:00:00,2025-11-20T00:00:00,RapidTruck,FAC-007,FAC-001
SHP-016,TRK-2025-001016,InTransit,2025-11-17T07:00:00,2025-11-19T09:00:00,RailExpress,FAC-008,FAC-002
SHP-017,TRK-2025-001017,Pending,2025-11-20T00:00:00,2025-11-25T00:00:00,AirCargo,FAC-009,FAC-003
SHP-018,TRK-2025-001018,Delivered,2025-11-10T09:00:00,2025-11-15T11:00:00,GlobalFreight,FAC-010,FAC-003
SHP-019,TRK-2025-001019,InTransit,2025-11-18T06:00:00,2025-11-23T13:00:00,OceanLogistics,FAC-011,FAC-003
SHP-020,TRK-2025-001020,Pending,2025-11-22T00:00:00,2025-11-26T00:00:00,AirCargo,FAC-012,FAC-003
SHP-021,TRK-2025-001021,Delivered,2025-11-12T07:00:00,2025-11-14T10:00:00,RailExpress,FAC-013,FAC-002
SHP-022,TRK-2025-001022,InTransit,2025-11-19T10:00:00,2025-11-24T15:00:00,GlobalFreight,FAC-014,FAC-003
SHP-023,TRK-2025-001023,Delivered,2025-11-14T06:00:00,2025-11-16T09:00:00,RapidTruck,FAC-003,FAC-001
SHP-024,TRK-2025-001024,InTransit,2025-11-18T07:00:00,2025-11-20T12:00:00,RapidTruck,FAC-003,FAC-002
SHP-025,TRK-2025-001025,Pending,2025-11-25T00:00:00,2025-11-30T00:00:00,GlobalFreight,FAC-005,FAC-003
