StoreId,StoreName,Address,City,State,ZipCode,OpenDate,SquareFootage
STR001,FreshMart Downtown,125 Main Street,Seattle,WA,98101,2018-03-15T00:00:00,45000
STR002,FreshMart Bellevue,890 Bellevue Way,Bellevue,WA,98004,2019-06-20T00:00:00,38000
STR003,FreshMart Redmond,456 Redmond Way,Redmond,WA,98052,2020-01-10T00:00:00,42000
STR004,FreshMart Kirkland,234 Central Way,Kirkland,WA,98033,2019-11-05T00:00:00,35000
STR005,FreshMart Tacoma,567 Pacific Avenue,Tacoma,WA,98402,2021-02-28T00:00:00,40000
STR006,FreshMart Everett,789 Broadway,Everett,WA,98201,2020-08-15T00:00:00,36000
STR007,FreshMart Olympia,321 Capitol Way,Olympia,WA,98501,2022-04-01T00:00:00,32000
STR008,FreshMart Spokane,654 Division Street,Spokane,WA,99201,2021-09-12T00:00:00,44000
STR009,FreshMart Vancouver,987 Main Street,Vancouver,WA,98660,2023-01-20T00:00:00,38000
STR010,FreshMart Renton,147 Rainier Avenue,Renton,WA,98057,2022-07-08T00:00:00,34000
STR011,FreshMart Federal Way,258 320th Street,Federal Way,WA,98003,2023-05-15T00:00:00,30000
STR012,FreshMart Lynnwood,369 196th Street SW,Lynnwood,WA,98036,2024-02-01T00:00:00,33000
