VehicleId,Vehicle_VIN,Vehicle_Model,Vehicle_Year,Vehicle_Status,Vehicle_CompletionDate,FacilityId
VEH-001,1NGEV2024SPARK001,Spark EV,2025,Complete,2025-11-15T14:30:00,FAC-001
VEH-002,1NGEV2024SPARK002,Spark EV,2025,Complete,2025-11-16T09:45:00,FAC-001
VEH-003,1NGEV2024THUND001,Thunder SUV,2025,Complete,2025-11-17T16:20:00,FAC-001
VEH-004,1NGEV2024THUND002,Thunder SUV,2025,InProgress,2025-11-20T00:00:00,FAC-001
VEH-005,1NGEV2024BOLT001,Bolt Sedan,2025,Complete,2025-11-18T11:00:00,FAC-002
VEH-006,1NGEV2024BOLT002,Bolt Sedan,2025,Complete,2025-11-19T13:30:00,FAC-002
VEH-007,1NGEV2024STORM01,Storm Truck,2026,InProgress,2026-01-15T00:00:00,FAC-002
VEH-008,1NGEV2024SPARK003,Spark EV,2025,Shipped,2025-11-10T08:00:00,FAC-001
VEH-009,1NGEV2024THUND003,Thunder SUV,2025,Shipped,2025-11-12T10:15:00,FAC-001
VEH-010,1NGEV2024BOLT003,Bolt Sedan,2025,Complete,2025-11-20T15:45:00,FAC-002
VEH-011,1NGEV2024STORM02,Storm Truck,2026,Planned,2026-02-01T00:00:00,FAC-002
VEH-012,1NGEV2024SPARK004,Spark EV,2026,InProgress,2026-01-10T00:00:00,FAC-001
VEH-013,1NGEV2024THUND004,Thunder SUV,2026,Planned,2026-01-20T00:00:00,FAC-001
VEH-014,1NGEV2024BOLT004,Bolt Sedan,2026,InProgress,2026-01-08T00:00:00,FAC-002
VEH-015,1NGEV2024STORM03,Storm Truck,2026,Planned,2026-02-15T00:00:00,FAC-002
VEH-016,1NGEV2024SPARK005,Spark EV,2026,Planned,2026-01-25T00:00:00,FAC-001
VEH-017,1NGEV2024THUND005,Thunder SUV,2026,Planned,2026-02-05T00:00:00,FAC-001
VEH-018,1NGEV2024BOLT005,Bolt Sedan,2026,Planned,2026-02-10T00:00:00,FAC-002
VEH-019,1NGEV2024STORM04,Storm Truck,2026,Planned,2026-03-01T00:00:00,FAC-002
VEH-020,1NGEV2024SPARK006,Spark EV,2026,Planned,2026-02-20T00:00:00,FAC-001
