MerchantId,MerchantName,MerchantCategory,RiskTier,RegistrationDate,LocationId
MERCH001,TechZone Electronics,Electronics,Low,2018-03-15T00:00:00,LOC001
MERCH002,Global Grocers,Grocery,Low,2015-07-22T00:00:00,LOC002
MERCH003,QuickFuel Gas Station,Gas Station,Medium,2019-11-08T00:00:00,LOC003
MERCH004,Luxury Fashion House,Apparel,Medium,2017-05-30T00:00:00,LOC004
MERCH005,CryptoExchange Pro,Cryptocurrency,High,2021-02-14T00:00:00,LOC005
MERCH006,Downtown Pharmacy,Healthcare,Low,2014-09-18T00:00:00,LOC002
MERCH007,AirTravel Express,Travel,Medium,2016-12-05T00:00:00,LOC006
MERCH008,GamingWorld Online,Gaming,High,2020-08-25T00:00:00,LOC007
MERCH009,Fresh Eats Restaurant,Restaurant,Low,2019-04-10T00:00:00,LOC001
MERCH010,QuickCash ATM Network,ATM,High,2018-02-28T00:00:00,LOC008
MERCH011,HomeStyle Furniture,Home Goods,Low,2016-06-14T00:00:00,LOC003
MERCH012,Digital Downloads Hub,Digital Goods,High,2021-09-03T00:00:00,LOC009
MERCH013,SportsPro Equipment,Sporting Goods,Low,2017-11-22T00:00:00,LOC004
MERCH014,Offshore Betting Ltd,Gambling,High,2020-01-11T00:00:00,LOC010
MERCH015,PetCare Supplies,Pet Store,Low,2018-08-20T00:00:00,LOC002
MERCH016,Jewelry Palace,Jewelry,Medium,2015-04-07T00:00:00,LOC011
MERCH017,FastShip Logistics,Shipping,Medium,2019-10-15T00:00:00,LOC006
MERCH018,WireMoney Transfer,Money Transfer,High,2020-05-28T00:00:00,LOC012
MERCH019,BookWorld Store,Books,Low,2013-12-30T00:00:00,LOC001
MERCH020,NightClub Vibe,Entertainment,Medium,2018-07-14T00:00:00,LOC013
