AssemblyId,Assembly_Type,Assembly_SerialNum,Assembly_Status,Assembly_StartDate,VehicleId
ASM-001,Engine,ENG-2025-00001,Complete,2025-11-10T08:00:00,VEH-001
ASM-002,Chassis,CHS-2025-00001,Complete,2025-11-09T06:00:00,VEH-001
ASM-003,Body,BDY-2025-00001,Complete,2025-11-11T10:00:00,VEH-001
ASM-004,Battery,BAT-2025-00001,Complete,2025-11-08T14:00:00,VEH-001
ASM-005,Interior,INT-2025-00001,Complete,2025-11-12T09:00:00,VEH-001
ASM-006,Engine,ENG-2025-00002,Complete,2025-11-11T08:00:00,VEH-002
ASM-007,Chassis,CHS-2025-00002,Complete,2025-11-10T06:00:00,VEH-002
ASM-008,Body,BDY-2025-00002,Complete,2025-11-12T10:00:00,VEH-002
ASM-009,Battery,BAT-2025-00002,Complete,2025-11-09T14:00:00,VEH-002
ASM-010,Interior,INT-2025-00002,Complete,2025-11-13T09:00:00,VEH-002
ASM-011,Engine,ENG-2025-00003,Complete,2025-11-12T08:00:00,VEH-003
ASM-012,Chassis,CHS-2025-00003,Complete,2025-11-11T06:00:00,VEH-003
ASM-013,Body,BDY-2025-00003,Complete,2025-11-13T10:00:00,VEH-003
ASM-014,Battery,BAT-2025-00003,Complete,2025-11-10T14:00:00,VEH-003
ASM-015,Interior,INT-2025-00003,Complete,2025-11-14T09:00:00,VEH-003
ASM-016,Engine,ENG-2025-00004,InProgress,2025-11-15T08:00:00,VEH-004
ASM-017,Chassis,CHS-2025-00004,Complete,2025-11-14T06:00:00,VEH-004
ASM-018,Body,BDY-2025-00004,InProgress,2025-11-16T10:00:00,VEH-004
ASM-019,Battery,BAT-2025-00004,Complete,2025-11-13T14:00:00,VEH-004
ASM-020,Interior,INT-2025-00004,Pending,2025-11-17T09:00:00,VEH-004
ASM-021,Engine,ENG-2025-00005,Complete,2025-11-13T08:00:00,VEH-005
ASM-022,Chassis,CHS-2025-00005,Complete,2025-11-12T06:00:00,VEH-005
ASM-023,Body,BDY-2025-00005,Complete,2025-11-14T10:00:00,VEH-005
ASM-024,Battery,BAT-2025-00005,Complete,2025-11-11T14:00:00,VEH-005
ASM-025,Interior,INT-2025-00005,Complete,2025-11-15T09:00:00,VEH-005
ASM-026,Engine,ENG-2025-00006,Complete,2025-11-14T08:00:00,VEH-006
ASM-027,Chassis,CHS-2025-00006,Complete,2025-11-13T06:00:00,VEH-006
ASM-028,Body,BDY-2025-00006,Complete,2025-11-15T10:00:00,VEH-006
ASM-029,Battery,BAT-2025-00006,Complete,2025-11-12T14:00:00,VEH-006
ASM-030,Interior,INT-2025-00006,Complete,2025-11-16T09:00:00,VEH-006
