BatchId,Batch_Product,Batch_MeshSpec,Batch_Quantity,Batch_Status,Batch_CompletionDate,EquipmentId
BTC-001,ZavaCore Field Standard,ZF-STD-01,10000,Complete,2025-11-15T14:30:00,EQP-002
BTC-002,ZavaCore Field Standard,ZF-STD-01,10000,Complete,2025-11-16T09:45:00,EQP-002
BTC-003,ZavaCore Field Slim,ZF-SLM-01,8000,Complete,2025-11-17T16:20:00,EQP-002
BTC-004,ZavaCore Field Slim,ZF-SLM-01,8000,Complete,2025-11-18T11:00:00,EQP-002
BTC-005,ZavaCore Systems Pro,ZS-PRO-01,5000,Complete,2025-11-19T15:30:00,EQP-002
BTC-006,ZavaCore Systems Pro,ZS-PRO-01,5000,Complete,2025-11-20T10:15:00,EQP-002
BTC-007,ZavaCore Systems Elite,ZS-ELT-01,6000,Complete,2025-11-21T13:45:00,EQP-002
BTC-008,ZavaCore Systems Elite,ZS-ELT-01,6000,Complete,2025-11-22T09:00:00,EQP-002
BTC-009,ZavaCore Field Micro,ZF-MCR-01,3000,Complete,2025-11-23T16:00:00,EQP-002
BTC-010,ZavaCore Field Micro,ZF-MCR-01,3000,Complete,2025-11-24T11:30:00,EQP-002
BTC-011,ZavaCore Field Standard,ZF-STD-01,10000,InProgress,,EQP-002
BTC-012,ZavaCore Field Slim,ZF-SLM-01,8000,InProgress,,EQP-002
BTC-013,ZavaCore Systems Pro,ZS-PRO-01,5000,InProgress,,EQP-002
BTC-014,ZavaCore Systems Elite,ZS-ELT-01,6000,Planned,,EQP-002
BTC-015,ZavaCore Field Standard,ZF-STD-01,15000,Planned,,EQP-002
BTC-016,ZavaCore Field Active,ZF-ACT-01,7000,Complete,2025-11-25T14:00:00,EQP-002
BTC-017,ZavaCore Systems Compact,ZS-CMP-01,4000,Complete,2025-11-26T10:00:00,EQP-002
BTC-018,ZavaCore Systems Nano,ZS-NAN-01,3000,InProgress,,EQP-002
BTC-019,ZavaCore Field Slim,ZF-SLM-01,12000,Planned,,EQP-002
BTC-020,ZavaCore Field Standard,ZF-STD-01,20000,Planned,,EQP-002
