OrderId,Order_Number,Order_Quantity,Order_Priority,Order_DueDate,Order_Status,BatchId
ORD-001,WO-2025-3001,10000,Normal,2025-11-15T00:00:00,Complete,BTC-001
ORD-002,WO-2025-3002,10000,Normal,2025-11-16T00:00:00,Complete,BTC-002
ORD-003,WO-2025-3003,8000,High,2025-11-17T00:00:00,Complete,BTC-003
ORD-004,WO-2025-3004,8000,Normal,2025-11-18T00:00:00,Complete,BTC-004
ORD-005,WO-2025-3005,5000,Normal,2025-11-19T00:00:00,Complete,BTC-005
ORD-006,WO-2025-3006,5000,Normal,2025-11-20T00:00:00,Complete,BTC-006
ORD-007,WO-2025-3007,6000,Normal,2025-11-21T00:00:00,Complete,BTC-007
ORD-008,WO-2025-3008,6000,High,2025-11-22T00:00:00,Complete,BTC-008
ORD-009,WO-2025-3009,3000,High,2025-11-23T00:00:00,Complete,BTC-009
ORD-010,WO-2025-3010,3000,Normal,2025-11-24T00:00:00,Complete,BTC-010
ORD-011,WO-2025-3011,10000,Normal,2025-11-28T00:00:00,InProgress,BTC-011
ORD-012,WO-2025-3012,8000,High,2025-11-29T00:00:00,InProgress,BTC-012
ORD-013,WO-2025-3013,5000,Normal,2025-11-30T00:00:00,InProgress,BTC-013
ORD-014,WO-2025-3014,6000,Normal,2025-12-01T00:00:00,Planned,BTC-014
ORD-015,WO-2025-3015,15000,Rush,2025-12-03T00:00:00,Planned,BTC-015
ORD-016,WO-2025-3016,7000,Normal,2025-11-25T00:00:00,Complete,BTC-016
ORD-017,WO-2025-3017,4000,High,2025-11-26T00:00:00,Complete,BTC-017
ORD-018,WO-2025-3018,3000,Normal,2025-12-02T00:00:00,InProgress,BTC-018
ORD-019,WO-2025-3019,12000,Normal,2025-12-05T00:00:00,Planned,BTC-019
ORD-020,WO-2025-3020,20000,Rush,2025-12-07T00:00:00,Planned,BTC-020
