EquipmentId,Equipment_Name,Equipment_Level,Equipment_Type,Equipment_Location,Equipment_Capacity
EQP-001,Golden Leaf London Blendery,Site,Blending,London UK,50000
EQP-002,Golden Leaf Manchester Packing,Site,Packing,Manchester UK,80000000
EQP-003,Golden Leaf Distribution Centre,Site,Distribution,Birmingham UK,100000000
EQP-004,Blending Hall Alpha,Area,Blending,London UK,25000
EQP-005,Packing Line 1,WorkCenter,Packing,Manchester UK,40000000
EQP-006,Packing Line 2,WorkCenter,Packing,Manchester UK,40000000
EQP-007,Quality Laboratory,Area,QualityControl,London UK,0
EQP-008,Finished Goods Warehouse,Area,Warehouse,Birmingham UK,50000000
EQP-009,Darjeeling Estate Depot,Site,Supplier,Darjeeling India,10000
EQP-010,Assam Processing Mill,Site,Supplier,Dibrugarh India,15000
EQP-011,Ceylon Export Terminal,Site,Supplier,Colombo Sri Lanka,12000
EQP-012,Hangzhou Tea Factory,Site,Supplier,Hangzhou China,20000
EQP-013,PackRight Hamburg Hub,Site,Supplier,Hamburg Germany,0
EQP-014,FlexiPack Chicago Warehouse,Site,Supplier,Chicago USA,0
EQP-015,Nile Valley Collection Point,Site,Supplier,Cairo Egypt,8000
EQP-150,PackLine-Alpha,WorkCenter,Packing,Manchester UK,20000000
EQP-151,PackLine-Bravo,WorkCenter,Packing,Manchester UK,20000000
EQP-152,PackLine-Charlie,WorkCenter,Packing,Manchester UK,20000000
EQP-153,PackLine-Delta,WorkCenter,Packing,Manchester UK,20000000
EQP-154,PackLine-Echo,WorkCenter,Packing,Manchester UK,20000000
EQP-155,PackLine-Foxtrot,WorkCenter,Packing,Manchester UK,20000000
EQP-156,PackLine-Golf,WorkCenter,Packing,Manchester UK,20000000
EQP-157,PackLine-Hotel,WorkCenter,Packing,Manchester UK,20000000
EQP-158,PackLine-India,WorkCenter,Packing,Manchester UK,20000000
EQP-159,PackLine-Juliet,WorkCenter,Packing,Manchester UK,20000000
EQP-160,PackLine-Kilo,WorkCenter,Packing,Manchester UK,20000000
EQP-016,Bravo-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-017,Bravo-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-018,Bravo-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-019,Bravo-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-020,Bravo-TeaBagFormer-05,WorkUnit,Forming,Manchester UK,0
EQP-021,Bravo-TeaBagFormer-06,WorkUnit,Forming,Manchester UK,0
EQP-022,Bravo-TeaBagFormer-07,WorkUnit,Forming,Manchester UK,0
EQP-023,Bravo-TeaBagFormer-08,WorkUnit,Forming,Manchester UK,0
EQP-024,Bravo-TeaBagFormer-09,WorkUnit,Forming,Manchester UK,0
EQP-025,Bravo-TeaBagFormer-10,WorkUnit,Forming,Manchester UK,0
EQP-026,Bravo-TeaBagFormer-11,WorkUnit,Forming,Manchester UK,0
EQP-027,Bravo-LabelApplicator-01,WorkUnit,Packing,Manchester UK,0
EQP-028,Bravo-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-029,Charlie-Cartoner-01,WorkUnit,Wrapping,Manchester UK,0
EQP-030,Charlie-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-031,Charlie-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-032,Charlie-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-033,Charlie-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-034,Charlie-TeaBagFormer-05,WorkUnit,Forming,Manchester UK,0
EQP-035,Charlie-StackerUnit-01,WorkUnit,Packing,Manchester UK,0
EQP-036,Charlie-BulkPacker-01,WorkUnit,Packing,Manchester UK,0
EQP-037,Charlie-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-038,Delta-Cartoner-01,WorkUnit,Wrapping,Manchester UK,0
EQP-039,Delta-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-040,Delta-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-041,Delta-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-042,Delta-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-043,Delta-TeaBagFormer-05,WorkUnit,Forming,Manchester UK,0
EQP-044,Delta-TeaBagFormer-06,WorkUnit,Forming,Manchester UK,0
EQP-045,Delta-TeaBagFormer-08,WorkUnit,Forming,Manchester UK,0
EQP-046,Delta-TeaBagFormer-09,WorkUnit,Forming,Manchester UK,0
EQP-047,Delta-TeaBagFormer-10,WorkUnit,Forming,Manchester UK,0
EQP-048,Delta-TeaBagFormer-11,WorkUnit,Forming,Manchester UK,0
EQP-049,Delta-TeaBagFormer-12,WorkUnit,Forming,Manchester UK,0
EQP-050,Delta-TeaBagFormer-13,WorkUnit,Forming,Manchester UK,0
EQP-051,Delta-BoxFormer-01,WorkUnit,Packing,Manchester UK,0
EQP-052,Delta-MetalDetector-01,WorkUnit,QualityControl,Manchester UK,0
EQP-053,Delta-MetalDetector-02,WorkUnit,QualityControl,Manchester UK,0
EQP-054,Delta-PouchSealer-01,WorkUnit,Packing,Manchester UK,0
EQP-055,Foxtrot-Overwrapper-01,WorkUnit,Wrapping,Manchester UK,0
EQP-056,Foxtrot-Overwrapper-02,WorkUnit,Wrapping,Manchester UK,0
EQP-057,Foxtrot-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-058,Golf-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-059,Hotel-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-060,Hotel-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-061,Hotel-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-062,Hotel-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-063,Hotel-TeaBagFormer-05,WorkUnit,Forming,Manchester UK,0
EQP-064,Hotel-TeaBagFormer-06,WorkUnit,Forming,Manchester UK,0
EQP-065,Hotel-TeaBagFormer-07,WorkUnit,Forming,Manchester UK,0
EQP-066,Hotel-TeaBagFormer-08,WorkUnit,Forming,Manchester UK,0
EQP-067,Hotel-TeaBagFormer-09,WorkUnit,Forming,Manchester UK,0
EQP-068,Hotel-TeaBagFormer-10,WorkUnit,Forming,Manchester UK,0
EQP-069,Hotel-TeaBagFormer-11,WorkUnit,Forming,Manchester UK,0
EQP-070,Hotel-TeaBagFormer-12,WorkUnit,Forming,Manchester UK,0
EQP-071,Hotel-TeaBagFormer-13,WorkUnit,Forming,Manchester UK,0
EQP-072,Hotel-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-073,Juliet-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-074,Golf-Overwrapper-01,WorkUnit,Wrapping,Manchester UK,0
EQP-075,Juliet-SealingUnit-06,WorkUnit,Forming,Manchester UK,0
EQP-076,Juliet-SealingUnit-07,WorkUnit,Forming,Manchester UK,0
EQP-077,Golf-TrayFormer-01,WorkUnit,Packing,Manchester UK,0
EQP-078,Juliet-SealingUnit-08,WorkUnit,Forming,Manchester UK,0
EQP-079,Juliet-SealingUnit-03,WorkUnit,Forming,Manchester UK,0
EQP-080,Juliet-SealingUnit-04,WorkUnit,Forming,Manchester UK,0
EQP-081,Juliet-SealingUnit-05,WorkUnit,Forming,Manchester UK,0
EQP-082,Foxtrot-TrayFormer-01,WorkUnit,Packing,Manchester UK,0
EQP-083,Kilo-SealingUnit-02,WorkUnit,Forming,Manchester UK,0
EQP-084,Juliet-MetalDetector-02,WorkUnit,QualityControl,Manchester UK,0
EQP-085,Juliet-MetalDetector-01,WorkUnit,QualityControl,Manchester UK,0
EQP-086,Bravo-FilmWrapper-02,WorkUnit,Wrapping,Manchester UK,0
EQP-087,Delta-TeaBagFormer-07,WorkUnit,Forming,Manchester UK,0
EQP-088,Hotel-BulkPacker-01,WorkUnit,Packing,Manchester UK,0
EQP-089,Bravo-Cartoner-01,WorkUnit,Wrapping,Manchester UK,0
EQP-090,Bravo-Cartoner-02,WorkUnit,Wrapping,Manchester UK,0
EQP-091,Bravo-FilmWrapper-01,WorkUnit,Wrapping,Manchester UK,0
EQP-092,Hotel-EnvelopeMachine-01,WorkUnit,Forming,Manchester UK,0
EQP-093,Hotel-Cartoner-01,WorkUnit,Wrapping,Manchester UK,0
EQP-094,Bravo-CartoonPacker-01,WorkUnit,Packing,Manchester UK,0
EQP-095,Bravo-CartoonPacker-02,WorkUnit,Packing,Manchester UK,0
EQP-096,Charlie-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-097,Foxtrot-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-098,Delta-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
